resort_name,state,lifts,runs,acres,green_percent,green_acres,blue_percent,blue_acres,black_percent,black_acres,lat,lon
Big Sky MT,Montana,34,306,5800,0.15,870,0.25,1450,0.6,3480,45.29,-111.38
Bigrock ME,Maine,5,28,60,0.11,6.6,0.75,45,0.14,8.4,44.6,-67.94
Bittersweet MI,Michigan,12,20,110,0.3,33,0.6,66,0.1,11,43.38,-85.78
Black Mountain ME,Maine,3,35,48,,0,,0,,0,45.18,-70.67
Black Mountain NH,New Hampshire ,4,40,143,0.33,47.19,0.35,50.05,0.32,45.76,44.22,-71.16
Blackjack MI,Michigan,6,26,126,0.2,25.2,0.4,50.4,0.4,50.4,46.48,-89.99
Blacktail Mountain MT,Montana,4,25,2500,0.15,375,0.7,1750,0.15,375,48,-114.36
Blanford MA,Massachusetts ,5,22,158,0.4,63.2,0.5,79,0.1,15.8,42.18,-72.93
Blue Hills MA ,Massachusetts ,4,12,60,0.25,15,0.5,30,0.25,15,41.81,-72.7
Blue Knob PA,Pennsylvania,5,34,100,0.2,20,0.35,35,0.45,45,40.28,-78.55
Blue Mountain PA,Pennsylvania,13,39,164,0.41,67.24,0.13,21.32,0.46,75.44,40.19,-77.61
Bogus Basin ID,Idaho,8,66,2600,0.22,572,0.45,1170,0.33,858,43.76,-116.1
Bolton Valley VT,Vermont,6,71,165,0.32,52.8,0.36,59.4,0.32,52.8,44.42,-72.85
Boreal CA,California,6,41,480,0.3,144,0.55,264,0.15,72,39.33,-120.35
Boston Mills/Brandywine OH,Ohio,16,17,88,0.27,23.76,0.27,23.76,0.46,40.48,40.07,-82.95
Bottineau Winter Park ND,North Dakota,5,9,40,0.4,16,0.4,16,0.2,8,48.83,-100.45
Bousquet MA ,Massachusetts ,5,23,200,0.34,68,0.33,66,0.33,66,42.4,-71.39
Boyce Park PA,Pennsylvania,3,4,25,0.75,18.75,0.25,6.25,,0,40.46,-79.75
Boyne Highlands MI,Michigan,8,55,435,0.37,160.95,0.29,126.15,0.34,147.9,45.47,-84.94
Boyne Mountain MI,Michigan,10,60,415,0.29,120.35,0.41,170.15,0.3,124.5,45.17,-84.94
Brantling NY,New York,6,8,36,0.3,10.8,0.4,14.4,0.3,10.8,43.16,-77.06
Breckenridge CO,Colorado,31,155,2358,0.14,330.12,0.31,730.98,0.55,1296.9,39.49,-106.03
Bretton Woods NH,New Hampshire ,10,102,464,0.25,116,0.29,134.56,0.46,213.44,44.26,-71.45
Brian Head UT,Utah,9,71,650,0.3,195,0.35,227.5,0.35,227.5,37.69,-112.86
Bridger Bowl MT,Montana,8,71,2000,0.2,400,0.3,600,0.5,1000,45.83,-110.89
Brighton  UT,Utah,5,66,1050,0.21,220.5,0.4,420,0.39,409.5,40.6,-111.58
Bristol Mountain NY,New York,6,34,138,0.32,44.16,0.5,69,0.18,24.84,44.24,-73.1
Bromley Mountain VT ,Vermont,10,46,300,0.35,105,0.34,102,0.31,93,43.23,-72.94
Brundage ID,Idaho,5,46,1500,0.3,450,0.5,750,0.2,300,45.05,-116.12
Bryce VA,Virginia,7,8,25,0.34,8.5,0.33,8.25,0.33,8.25,38.75,-78.65
Buck Hill MN,Minnesota,9,16,45,0.4,18,0.4,18,0.2,9,44.72,-93.28
Buena Vista MN,Minnesota,5,16,30,0.2,6,0.55,16.5,0.25,7.5,47.57,-94.72
Burke Mountain VT,Vermont,6,55,270,0.11,29.7,0.47,126.9,0.42,113.4,44.57,-71.9
Buttermilk CO,Colorado,9,44,470,0.35,164.5,0.39,183.3,0.26,122.2,39.24,-104.91
Caberfae Peaks MI,Michigan,6,34,200,0.35,70,0.33,66,0.32,64,44.32,-85.6
Camden Snow Bowl ME,Maine,4,11,80,0.2,16,0.6,48,0.2,16,44.21,-69.15
Camelback Mountain PA,Pennsylvania,15,34,160,0.39,62.4,0.26,41.6,0.35,56,41.05,-75.35
Camp 10 WI,Wisconsin,4,14,120,0.4,48,0.4,48,0.2,24,45.4,-88.22
Campgaw Mountain NJ,New Jersey,6,5,18,0.7,12.6,0.2,3.6,0.1,1.8,41.05,-74.21
Canaan Valley WV,West Virginia ,5,42,91,0.3,27.3,0.4,36.4,0.3,27.3,39.12,-79.37
Cannon Mountain NH,New Hampshire ,10,73,264,0.21,55.44,0.47,124.08,0.32,84.48,44.15,-71.69
Cannonsburg MI,Michigan,10,19,100,0.2,20,0.25,25,0.55,55,43.06,-85.48
Cascade Mountain WI,Wisconsin,10,35,160,0.38,60.8,0.24,38.4,0.38,60.8,43.49,-89.52
Cataloochee NC,North Carolina,5,12,50,0.25,12.5,0.5,25,0.25,12.5,35.63,-83.09
Catamount NY,New York,6,33,130,0.32,41.6,0.33,42.9,0.35,45.5,44.59,-74.09
Chester Bowl Park MN,Minnesota,1,4,117,0.4,46.8,0.6,70.2,,0,46.73,-94.69
Chestnut Mountain IL,Illinois,9,19,146,0.3,43.8,0.4,58.4,0.3,43.8,42.32,-90.38
China Peak CA,California,11,45,1200,0.11,132,0.28,336,0.61,732,40.9,-123.34
Christie Mountain WI,Wisconsin,5,21,100,0.4,40,0.25,25,0.35,35,45.19,-88.49
Christmas Mountain WI,Wisconsin,3,10,40,0.4,16,0.4,16,0.2,8,43.6,-89.87
Clear Fork OH,Ohio,6,9,60,0.29,17.4,0.42,25.2,0.29,17.4,41.68,-84.58
Cloudmont AL,Alabama,2,2,10,0.5,5,0.5,5,,0,33.4,-86.08
Cochran VT,Vermont,5,6,30,0.22,6.6,0.56,16.8,0.22,6.6,44.39,-72.97
Coffee Mill MN,Minnesota,3,10,28,0.3,8.4,0.4,11.2,0.3,8.4,44.36,-92.04
Cooper Spur OR,Oregon,2,10,50,0.4,20,0.4,20,0.2,10,45.39,-121.67
Copper Mt CO,Colorado,22,127,2465,0.21,517.65,0.25,616.25,0.54,1331.1,39.46,-106.17
Cortina NY,New York,4,18,87,0.45,39.15,0.5,43.5,0.05,4.35,43.15,-76.31
Cottonwood Butte ID,Idaho,2,7,260,0.28,72.8,0.29,75.4,0.43,111.8,46.06,-116.46
Cranmore Mountain NH,New Hampshire ,10,54,200,0.36,72,0.44,88,0.2,40,44.06,-71.11
Crested Butte CO,Colorado,16,121,1547,0.21,324.87,0.46,711.62,0.33,510.51,38.87,-106.99
Crotched Mountain NH,New Hampshire ,5,25,100,0.28,28,0.4,40,0.32,32,42.99,-71.88
Crystal Mountain MI,Michigan,8,45,85,0.25,21.25,0.49,41.65,0.26,22.1,44.51,-86
Crystal Mountain WA,Washington,12,57,2600,0.11,286,0.54,1404,0.35,910,46.92,-121.52
Dartmouth Skiway NH,New Hampshire ,4,31,107,0.24,25.68,0.5,53.5,0.26,27.82,43.2,-71.56
Dear Valley UT,Utah,21,100,2026,0.27,547.02,0.4,810.4,0.33,668.58,40.61,-111.5
Devil's Head WI,Wisconsin,11,30,300,0.3,90,0.4,120,0.3,90,46.22,-89.26
Diamond Peak NV,Nevada,6,31,655,0.18,117.9,0.46,301.3,0.36,235.8,39.58,-115.81
Discovery Basin MT,Montana,7,67,2200,0.2,440,0.25,550,0.55,1210,46.26,-112.26
Dodge Ridge CA,California,12,67,852,0.2,170.4,0.4,340.8,0.4,340.8,38.14,-120.03
Donner Ski Ranch CA,California,8,53,503,0.25,125.75,0.5,251.5,0.25,125.75,39.31,-120.34
Dry Hill NY,New York,3,7,42,0.33,13.86,0.34,14.28,0.33,13.86,42.99,-75.21
Eagle Point UT,Utah,6,40,625,0.2,125,0.35,218.75,0.45,281.25,41.25,-111.8
Eagle Rock PA,Pennsylvania,3,14,43,0.6,25.8,0.1,4.3,0.3,12.9,39.83,-77.53
Eaglecrest AK,Alaska,4,31,640,0.2,128,0.4,256,0.4,256,58.3,-134.55
Echo Valley WA,Washington,4,8,70,0.25,17.5,0.5,35,0.25,17.5,48.64,-117.93
Eldora CO,Colorado,12,53,680,0.2,136,0.5,340,0.3,204,39.94,-105.56
Elk Mountain PA,Pennsylvania,6,27,140,0.25,35,0.3,42,0.45,63,41.72,-75.55
Elk Ridge AZ,Arizona ,2,12,37,0.3,11.1,0.5,18.5,0.2,7.4,35.1,-112.23
Four Lakes IL,Illinois,7,5,9,0.3,2.7,0.7,6.3,0,0,41.79,-88.09
Four Seasons NY,New York,2,4,12,0.4,4.8,0.4,4.8,0.2,2.4,42.48,-73.81
Frost Fire ND,North Dakota,3,10,25,0.25,6.25,0.25,6.25,0.5,12.5,48.91,-98.07
Giants Ridge MN,Minnesota,7,35,202,0.31,62.62,0.44,88.88,0.25,50.5,47.59,-92.3
Gladstone MI,Michigan,5,6,30,0.6,18,0.4,12,,0,45.86,-87.02
Gore Mountain NY,New York,14,94,438,0.11,48.18,0.53,232.14,0.36,157.68,43.67,-74.05
Grand Geneva WI,Wisconsin,6,18,14,0.3,4.2,0.4,5.6,0.3,4.2,42.6,-88.4
Grand Targhee WY,Wyoming,5,72,3000,0.1,300,0.7,2100,0.2,600,43.74,-111.07
Granite Gorge NH,New Hampshire ,2,17,25,0.35,8.75,0.35,8.75,0.3,7.5,42.97,-72.21
Granite Peak WI,Wisconsin,8,74,275,0.35,96.25,0.3,82.5,0.35,96.25,43.79,-88.79
Great Bear SD,South Dakota,5,12,20,0.25,5,0.5,10,0.25,5,43.57,-96.67
Great Divide MT,Montana,6,140,1600,0.15,240,0.35,560,0.5,800,25,-147
Greek Peak Mountain NY,New York,8,32,220,0.4,88,0.25,55,0.35,77,40.71,-74.01
Gunstock NH,New Hampshire ,7,55,227,0.12,27.24,0.61,138.47,0.27,61.29,42.91,-71.08
Hanson Hills MI,Michigan,4,11,125,0.5,62.5,0.5,62.5,,0,44.64,-84.75
Heavenly CA,California,29,97,4800,0.2,960,0.45,2160,0.35,1680,38.9353,-119.94
Hidden Valley MO,Missouri,6,12,30,0.3,9,0.6,18,0.1,3,38.95,-94.54
Hidden Valley NJ,New Jersey,4,13,36,0.25,9,0.3,10.8,0.45,16.2,40.64,-74.88
Hidden Valley PA,Pennsylvania,11,31,110,0.31,34.1,0.45,49.5,0.24,26.4,40.06,-79.26
Hidden Valley WI,Wisconsin,2,7,50,0.25,12.5,0.5,25,0.25,12.5,43.03,-88.18
Highlands of Olympia WI,Wisconsin,,3,5,0.5,2.5,0.3,1.5,0.2,1,43.79,-88.79
Hilltop AK,Alaska,3,10,30,0.8,24,0.1,3,0.1,3,61.43,-149.44
Hogadon WY,Wyoming,3,15,60,0.2,12,0.4,24,0.4,24,39.52,-119.87
Holiday Mountain NY,New York,4,7,60,0.3,18,0.4,24,0.3,18,41.63,-74.62
Holiday Valley NY,New York,13,58,290,0.34,98.6,0.28,81.2,0.38,110.2,42.26,-78.68
HoliMont NY,New York,9,52,140,0.25,35,0.25,35,0.5,70,42.28,-78.7
Homewood CA,California,8,64,1260,0.15,189,0.5,630,0.35,441,39.08,-120.17
Hoodoo OR,Oregon,7,30,806,0.3,241.8,0.3,241.8,0.4,322.4,43.89,-121.43
Huff Hills ND,North Dakota,2,16,80,0.4,32,0.5,40,0.1,8,46.63,-100.72
Hunter Mountain NY,New York,10,55,240,0.3,72,0.3,72,0.4,96,42.18,-74.24
Hyland MN,Minnesota,6,14,35,0.4,14,0.4,14,0.2,7,44.82,-93.37
Indianhead MI,Michigan,9,30,238,0.17,40.46,0.33,78.54,0.5,119,46.49,-89.97
Jack Frost PA,Pennsylvania,9,21,100,0.2,20,0.4,40,0.4,40,41.1,-75.66
Jackson Hole WY,Wyoming,12,116,2500,0.1,250,0.4,1000,0.5,1250,43.49,-110.75
Jay Peak VT,Vermont,9,78,385,0.2,77,0.4,154,0.4,154,44.97,-72.47
Jiminy Peak MA,Massachusetts ,9,45,170,0.22,37.4,0.45,76.5,0.33,56.1,42.55,-73.3
Kelly Canyon ID,Idaho,6,16,640,0.35,224,0.45,288,0.2,128,44.14,-112.7
Keystone CO,Colorado,20,135,3148,0.19,598.12,0.32,1007.36,0.49,1542.52,39.6,-105.95
Killington VT,Vermont,22,140,752,0.28,210.56,0.33,248.16,0.39,293.28,43.67,-72.78
Kirkwood CA,California,15,81,2300,0.15,345,0.5,1150,0.35,805,38.684,-120.068
Kissing Bridge NY,New York,10,38,778,0.35,272.3,0.35,272.3,0.3,233.4,42.61,-78.65
Labrador Mountain NY,New York,4,22,250,0.33,82.5,0.34,85,0.33,82.5,40.71,-74.01
Las Vegas NV,Nevada,4,30,195,0.1,19.5,0.45,87.75,0.45,87.75,36.12,-115.18
Liberty Mountain PA,Pennsylvania,8,16,100,0.35,35,0.4,40,0.25,25,41.51,-77.09
Little Ski Hill ID,Idaho,1,5,40,0.35,14,0.45,18,0.2,8,44.93,-116.16
Little Switzerland WI,Wisconsin,7,17,50,,0,,0,,0,43.79,-88.79
Lookout Pass ID,Idaho,4,34,540,0.2,108,0.5,270,0.3,162,47.47,-115.69
Loon NH,New Hampshire ,12,61,370,0.2,74,0.6,222,0.2,74,43.8,-71.02
Lost Trail Powder MT,Montana,8,50,900,0.2,180,0.6,540,0.2,180,45.69,-111.06
Lost Valley ME,Maine,2,17,45,0.3,13.5,0.5,22.5,0.2,9,44.12,-70.27
Loup Loup WA,Washington,4,10,300,0.2,60,0.3,90,0.5,150,48.29,-119.71
Loveland CO,Colorado,10,93,1800,0.13,234,0.41,738,0.46,828,40.41,-105.08
Lutsen Mountains MN,Minnesota,10,92,986,0.18,177.48,0.47,463.42,0.35,345.1,46.73,-94.69
Mad River Glen VT,Vermont,5,45,915,0.3,274.5,0.3,274.5,0.4,366,44.57,-72.57
Mad River OH,Ohio,14,24,144,0.22,31.68,0.34,48.96,0.44,63.36,39.91,-83.93
Magic Mountain ID,Idaho,3,11,120,0.3,36,0.25,30,0.45,54,42.2,-114.41
Magic Mountain VT,Vermont,4,43,195,0.3,58.5,0.3,58.5,0.4,78,43.2,-72.77
Mammoth CA,California,28,150,3500,0.25,875,0.4,1400,0.35,1225,41.73,-121.37
Marquette Mountain MI,Michigan,4,25,169,0.15,25.35,0.5,84.5,0.35,59.15,46.53,-87.41
Massanutten VA,Virginia,7,14,70,0.3,21,0.35,24.5,0.35,24.5,38.41,-78.73
Maverick Mountain MT,Montana,2,24,210,0.2,42,0.35,73.5,0.45,94.5,45.45,-113.16
McCauley Mountain NY ,New York,5,21,75,0.33,24.75,0.34,25.5,0.33,24.75,43.39,-74.89
Meadowlark WY,Wyoming,3,14,160,0.3,48,0.4,64,0.3,48,44.66,-93.17
Mission Ridge WA,Washington,6,36,2000,0.1,200,0.6,1200,0.3,600,47.34,-120.47
Mohawk Mountain CT,Connecticut,7,25,107,0.2,21.4,0.6,64.2,0.2,21.4,41.83,-73.31
Monarch CO,Colorado,7,64,800,0.14,112,0.28,224,0.58,464,38.54,-106.33
Mont du Lac WI,Wisconsin,4,9,66,0.33,21.78,0.34,22.44,0.33,21.78,46.64,-92.29
Mont Ripley MI,Michigan,3,24,112,0.22,24.64,0.3,33.6,0.48,53.76,47.11,-88.56
Montage Mountain PA,Pennsylvania,7,30,140,0.35,49,0.25,35,0.4,56,41.35,-75.68
Montana Snowbowl MT,Montana,4,32,1200,0.1,120,0.4,480,0.5,600,46.99,-114.01
Moose Mountain AK,Alaska,14,35,200,0.15,30,0.65,130,0.2,40,64.92,-147.94
Mount Ashwabay WI,Wisconsin,2,11,65,0.4,26,0.35,22.75,0.25,16.25,46.79,-90.9
Mount Bohemia MI,Michigan,2,85,450,,0,0.07,31.5,0.93,418.5,47.4,-88
Mount Kato MN,Minnesota,8,19,55,0.24,13.2,0.59,32.45,0.17,9.35,44.15,-94.04
Mount Pleasant of Edinboro PA,Pennsylvania,3,8,25,0.2,5,0.7,17.5,0.1,2.5,41.85,-80.07
Mount Rose CA,California,6,43,1200,0.2,240,0.3,360,0.5,600,39.34,-119.92
Mount Snow VT,Vermont,20,80,588,0.14,82.32,0.73,429.24,0.13,76.44,42.97,-72.93
Mount Sunapee NH,New Hampshire ,11,66,232,0.26,60.32,0.49,113.68,0.25,58,43.35,-72.07
Mountain Creek NJ,New Jersey,9,41,167,0.2,33.4,0.57,95.19,0.23,38.41,40.84,-74.82
Mountain High CA,California,12,28,290,0.25,72.5,0.4,116,0.35,101.5,41.96,-122.44
Mt Shasta CA,California,5,32,425,0.2,85,0.55,233.75,0.25,106.25,41.31,-122.29
Mt. Abram  ME,Maine,5,44,560,0.28,156.8,0.48,268.8,0.24,134.4,44.38,-70.72
Mt. Ashland OR,Oregon,4,23,200,0.05,10,0.2,40,0.75,150,42.09,-122.72
Mt. Aurora AK,Alaska,3,,100,0.2,20,0.4,40,0.4,40,63.52,-146.54
Mt. Bachelor OR,Oregon,14,71,3683,0.15,552.45,0.25,920.75,0.6,2209.8,43.99,-121.68
Mt. Baker WA,Washington,10,38,1000,0.24,240,0.45,450,0.31,310,48.78,-121.81
Mt. Brighton MI,Michigan,18,26,130,0.3,39,0.4,52,0.3,39,42.53,-83.82
Mt. Crescent IA,Iowa,2,9,50,0.33,16.5,0.34,17,0.33,16.5,45.6,-107.45
Mt. Holiday MI,Michigan,4,12,20,,0,,0,,0,44.75,-85.53
Mt. Holly MI,Michigan,14,18,100,0.22,22,0.39,39,0.39,39,42.82,-83.58
Mt. Hood Meadows OR,Oregon,13,85,2150,0.15,322.5,0.5,1075,0.35,752.5,45.33,-121.66
Mt. Hood Skibowl OR,Oregon,9,65,960,0.2,192,0.4,384,0.4,384,45.37,-121.7
Mt. La Crosse WI,Wisconsin,4,18,100,0.3,30,0.4,40,0.3,30,43.79,-91.24
Mt. Lemmon AZ,Arizona ,3,21,200,0.2,40,0.38,76,0.42,84,32.45,-110.76
Mt. Peter NY,New York,4,14,60,0.33,19.8,0.34,20.4,0.33,19.8,41.23,-74.29
Mt. Pisgah NY,New York,2,5,15,,0,0.8,12,0.2,3,44.33,-74.14
Mt. Rose Ski Tahoe NV,Nevada,8,60,1200,0.2,240,0.7,840,0.1,120,38.81,-116.41
Mt. Southington CT ,Connecticut,7,14,51,0.33,16.83,0.42,21.42,0.25,12.75,41.61,-72.94
Mt. Spokane WA,Washington,5,45,1425,0.23,327.75,0.45,641.25,0.32,456,47.93,-117.12
Mt. Zion MI,Michigan,2,10,20,0.25,5,0.5,10,0.25,5,46.47,-90.16
Mulligan's Hollow MI,Michigan,5,6,7,0.5,3.5,0.5,3.5,,0,43.06,-86.22
Mystic Mountain PA,Pennsylvania,3,6,25,0.4,10,0.35,8.75,0.25,6.25,39.57,-79.19
Nashoba Valley MA,Massachusetts ,9,17,59,0.2,11.8,0.47,27.73,0.33,19.47,42.48,-71.49
New Hermon ME,Maine,3,18,75,0.4,30,0.3,22.5,0.3,22.5,44.44,-69.52
Nordic Mountain WI,Wisconsin,6,16,60,0.15,9,0.5,30,0.35,21,45.19,-88.49
Northstat CA,California,20,17,3170,0.13,412.1,0.6,1902,0.27,855.9,38.58,-121.75
Nubs Nob MI,Michigan,11,53,248,0.31,76.88,0.48,119.04,0.21,52.08,45.47,-84.91
Ober Gatlinburg TN,Tennessee,5,9,32,0.25,8,0.5,16,0.25,8,35.51,-86.59
Okemo Mountain VT,Vermont,19,119,632,0.32,202.24,0.36,227.52,0.32,202.24,43.41,-72.72
Otis Ridge MA,Massachusetts ,5,11,60,0.3,18,0.4,24,0.3,18,42.2,-73.11
Pajarito NM,New Mexico,6,40,300,0.2,60,0.5,150,0.3,90,35.91,-106.14
Park City Mt UT,Utah,41,344,7300,0.09,657,0.51,3723,0.4,2920,40.68,-111.48
Pats Peak NH,New Hampshire ,10,23,90,0.5,45,0.18,16.2,0.32,28.8,43.2,-71.56
Pebble Creek ID,Idaho,3,54,1100,0.12,132,0.35,385,0.53,583,42.74,-112.03
Peek 'n Peak NY,New York,8,27,105,0.26,27.3,0.52,54.6,0.22,23.1,42.06,-79.74
Perfect North IN,Indiana,11,23,100,0.25,25,0.5,50,0.25,25,40.78,-89.62
Petoskey MI,Michigan,1,1,36,,0,1,36,,0,45.36,-84.95
Pico Mountain VT,Vermont,7,50,214,0.2,42.8,0.48,102.72,0.32,68.48,43.86,-72.88
Pine Knob MI,Michigan,12,17,85,0.3,25.5,0.35,29.75,0.35,29.75,42.75,-83.38
Pine Mountain MI,Michigan,5,27,340,0.3,102,0.4,136,0.3,102,45.84,-88.09
Plattekill Mountain,New York,4,38,75,0.2,15,0.4,30,0.4,30,42.27,-74.64
Pomerelle Mountain ID,Idaho,3,24,500,0.35,175,0.4,200,0.25,125,42.32,-113.61
Powder Mt UT,Utah,7,135,2800,0.25,700,0.4,1120,0.35,980,40.15,-112.18
Powder Ridge MN,Minnesota,6,15,60,0.4,24,0.4,24,0.2,12,45.33,-94.31
Powderhorn CO,Colorado,4,43,1600,0.2,320,0.5,800,0.3,480,38.28,-107.1
Purgatory CO,Colorado,10,85,1200,0.23,276,0.51,612,0.26,312,39.46,-106.08
Ragged Mountain NH,New Hampshire ,5,45,220,0.3,66,0.4,88,0.3,66,43.47,-71.83
Red Lodge Mountain MT,Montana,7,65,1565,0.17,266.05,0.45,704.25,0.38,594.7,45.16,-109.29
Red River NM,New Mexico,7,57,290,0.32,92.8,0.38,110.2,0.3,87,36.72,-105.41
Roundtop PA,Pennsylvania,10,16,100,0.38,38,0.32,32,0.3,30,41.34,-76.5
Royal Mountain NY,New York,3,13,30,0.33,9.9,0.34,10.2,0.33,9.9,43.04,-74.51
Saddleback ME,Maine,5,66,220,0.38,83.6,0.29,63.8,0.33,72.6,44.11,-68.54
Sandia Peak NM,New Mexico,6,30,200,0.35,70,0.55,110,0.1,20,35.21,-106.45
Sawkill NY,New York,1,2,6,0.7,4.2,0.3,1.8,,0,41.6,-74.18
Schweitzer Mountain ID,Idaho,9,92,2900,0.1,290,0.4,1160,0.5,1450,48.35,-116.59
Seven Oaks IA,Iowa,4,11,30,0.4,12,0.4,12,0.2,6,41.46,-91.06
Seven Springs PA,Pennsylvania,10,33,285,0.35,99.75,0.4,114,0.25,71.25,40.02,-79.29
Shanty Creek  MI,Michigan,12,55,400,0.37,148,0.3,120,0.33,132,44.92,-85.18
Shawnee Mountain PA,Pennsylvania,12,23,125,0.25,31.25,0.5,62.5,0.25,31.25,41.03,-75.07
Shawnee Peak ME,Maine,5,40,249,0.25,62.25,0.5,124.5,0.25,62.25,44.06,-70.81
Showdown Montana MT,Montana,4,34,640,0.3,192,0.4,256,0.3,192,46.84,-110.69
Sierra at Tahoe CA,California,14,46,2000,0.25,500,0.5,1000,0.25,500,38.81,-120.07
Silver Mountain ID,Idaho,7,73,1600,0.2,320,0.4,640,0.4,640,48.96,-116.74
Silverton CO,Colorado,1,69,1819,0,0,0,0,1,1819,37.82,-107.66
Sipapu NM,New Mexico,5,41,200,0.2,40,0.4,80,0.4,80,36.15,-105.55
Ski Apache NM,New Mexico,11,55,750,0.2,150,0.6,450,0.2,150,33.4,-105.78
Ski Bluewood WA,Washington,3,24,430,0.27,116.1,0.43,184.9,0.3,129,47.75,-120.74
Ski Bradford MA,Massachusetts ,10,15,48,0.1,4.8,0.8,38.4,0.1,4.8,42.76,-71.06
Ski Brule MI,Michigan,11,17,150,0.2,30,0.5,75,0.3,45,44.32,-85.6
Ski Butternut MA,Massachusetts ,11,22,110,0.2,22,0.6,66,0.2,22,42.4,-71.39
Ski Cooper CO,Colorado,5,26,400,0.3,120,0.4,160,0.3,120,39.36,-106.3
Ski Denton PA,Pennsylvania,4,22,75,0.35,26.25,0.35,26.25,0.3,22.5,41.19,-77.21
Ski Granby CO,Colorado,5,33,406,0.5,203,0.3,121.8,0.2,81.2,39.92,-105.79
Ski Mystic SD,South Dakota,4,44,300,0.4,120,0.4,120,0.2,60,44.08,-103.63
Ski Santa Fe NM,New Mexico,7,74,660,0.2,132,0.4,264,0.4,264,35.72,-105.89
Ski Sawmill PA,Pennsylvania,5,12,15,0.33,4.95,0.34,5.1,0.33,4.95,41.52,-77.29
Ski Sundown CT,Connecticut,5,15,65,0.5,32.5,0.25,16.25,0.25,16.25,41.6,-73.09
Ski Ward MA ,Massachusetts ,6,9,45,0.3,13.5,0.6,27,0.1,4.5,42.4,-71.39
Sleeping Giant WY,Wyoming,3,49,184,0.15,27.6,0.41,75.44,0.44,80.96,44.52,-109.84
Smuggler's Notch VT,Vermont,8,78,1000,0.19,190,0.5,500,0.31,310,44.55,-72.79
